OKRSEK,STRANA,HLASY,batch
1015,1,75,11
1015,2,37,11
1015,3,37,11
1015,4,0,11
1015,5,0,11
1015,6,74,11
1015,7,0,11
1015,8,144,11
1015,9,0,11
1015,10,0,11
1015,11,0,11
1015,12,0,11
1015,13,0,11
1015,1,75,11
1015,2,37,11
1015,3,37,11
1015,4,0,11
1015,5,0,11
1015,6,74,11
1015,7,0,11
1015,8,144,11
1015,9,0,11
1015,10,0,11
1015,11,0,11
1015,12,0,11
1015,13,0,11
1015,1,75,11
1015,2,37,11
1015,3,37,11
1015,4,0,11
1015,5,0,11
1015,6,74,11
1015,7,0,11
1015,8,144,11
1015,9,0,11
1015,10,0,11
1015,11,0,11
1015,12,0,11
1015,13,0,11
1015,1,75,11
1015,2,37,11
1015,3,37,11
1015,4,0,11
1015,5,0,11
1015,6,74,11
1015,7,0,11
1015,8,144,11
1015,9,0,11
1015,10,0,11
1015,11,0,11
1015,12,0,11
1015,13,0,11
1015,1,75,11
1015,2,37,11
1015,3,37,11
1015,4,0,11
1015,5,0,11
1015,6,74,11
1015,7,0,11
1015,8,144,11
1015,9,0,11
1015,10,0,11
1015,11,0,11
1015,12,0,11
1015,13,0,11
1015,1,75,11
1015,2,37,11
1015,3,37,11
1015,4,0,11
1015,5,0,11
1015,6,74,11
1015,7,0,11
1015,8,144,11
1015,9,0,11
1015,10,0,11
1015,11,0,11
1015,12,0,11
1015,13,0,11
1015,1,75,11
1015,2,37,11
1015,3,37,11
1015,4,0,11
1015,5,0,11
1015,6,74,11
1015,7,0,11
1015,8,144,11
1015,9,0,11
1015,10,0,11
1015,11,0,11
1015,12,0,11
1015,13,0,11
1015,1,75,11
1015,2,37,11
1015,3,37,11
1015,4,0,11
1015,5,0,11
1015,6,74,11
1015,7,0,11
1015,8,144,11
1015,9,0,11
1015,10,0,11
1015,11,0,11
1015,12,0,11
1015,13,0,11
1015,1,75,11
1015,2,37,11
1015,3,37,11
1015,4,0,11
1015,5,0,11
1015,6,74,11
1015,7,0,11
1015,8,144,11
1015,9,0,11
1015,10,0,11
1015,11,0,11
1015,12,0,11
1015,13,0,11
1015,1,75,11
1015,2,37,11
1015,3,37,11
1015,4,0,11
1015,5,0,11
1015,6,74,11
1015,7,0,11
1015,8,144,11
1015,9,0,11
1015,10,0,11
1015,11,0,11
1015,12,0,11
1015,13,0,11
1014,1,115,20
1014,2,77,20
1014,3,112,20
1014,4,40,20
1014,5,39,20
1014,6,231,20
1014,7,10,20
1014,8,145,20
1014,9,2,20
1014,10,75,20
1014,11,113,20
1014,12,1,20
1014,13,37,20
2010,1,60,21
2010,2,142,21
2010,3,44,21
2010,4,3,21
2010,5,3,21
2010,6,251,21
2010,7,0,21
2010,8,181,21
2010,9,2,21
2010,10,40,21
2010,11,7,21
2010,12,38,21
2010,13,1,21
2016,1,146,28
2016,2,521,28
2016,3,409,28
2016,4,114,28
2016,5,37,28
2016,6,930,28
2016,7,39,28
2016,8,107,28
2016,9,0,28
2016,10,76,28
2016,11,193,28
2016,12,1,28
2016,13,0,28
2003,1,410,29
2003,2,391,29
2003,3,84,29
2003,4,5,29
2003,5,117,29
2003,6,1326,29
2003,7,102,29
2003,8,651,29
2003,9,37,29
2003,10,816,29
2003,11,337,29
2003,12,327,29
2003,13,69,29
3020,1,690,29
3020,2,877,29
3020,3,206,29
3020,4,236,29
3020,5,149,29
3020,6,2455,29
3020,7,200,29
3020,8,1024,29
3020,9,2,29
3020,10,890,29
3020,11,174,29
3020,12,333,29
3020,13,401,29
1027,1,618,30
1027,2,362,30
1027,3,544,30
1027,4,66,30
1027,5,116,30
1027,6,944,30
1027,7,49,30
1027,8,599,30
1027,9,2,30
1027,10,1299,30
1027,11,266,30
1027,12,225,30
1027,13,182,30
1008,1,487,30
1008,2,203,30
1008,3,744,30
1008,4,215,30
1008,5,52,30
1008,6,1239,30
1008,7,313,30
1008,8,473,30
1008,9,191,30
1008,10,1495,30
1008,11,4,30
1008,12,266,30
1008,13,41,30
2021,1,469,31
2021,2,3024,31
2021,3,120,31
2021,4,42,31
2021,5,75,31
2021,6,1687,31
2021,7,231,31
2021,8,258,31
2021,9,2,31
2021,10,300,31
2021,11,590,31
2021,12,153,31
2021,13,0,31
2009,1,618,32
2009,2,1140,32
2009,3,677,32
2009,4,257,32
2009,5,63,32
2009,6,2185,32
2009,7,176,32
2009,8,1255,32
2009,9,3,32
2009,10,1350,32
2009,11,159,32
2009,12,589,32
2009,13,58,32
1001,1,181,32
1001,2,46,32
1001,3,88,32
1001,4,9,32
1001,5,80,32
1001,6,1294,32
1001,7,14,32
1001,8,789,32
1001,9,5,32
1001,10,183,32
1001,11,265,32
1001,12,121,32
1001,13,43,32
1035,1,881,33
1035,2,850,33
1035,3,865,33
1035,4,383,33
1035,5,90,33
1035,6,2133,33
1035,7,272,33
1035,8,371,33
1035,9,5,33
1035,10,1395,33
1035,11,461,33
1035,12,300,33
1035,13,53,33
3012,1,559,36
3012,2,303,36
3012,3,342,36
3012,4,94,36
3012,5,59,36
3012,6,3276,36
3012,7,174,36
3012,8,693,36
3012,9,11,36
3012,10,669,36
3012,11,127,36
3012,12,217,36
3012,13,25,36
3014,1,696,36
3014,2,467,36
3014,3,590,36
3014,4,82,36
3014,5,121,36
3014,6,2643,36
3014,7,140,36
3014,8,1018,36
3014,9,41,36
3014,10,757,36
3014,11,423,36
3014,12,271,36
3014,13,43,36
2002,1,398,37
2002,2,742,37
2002,3,441,37
2002,4,126,37
2002,5,82,37
2002,6,2619,37
2002,7,314,37
2002,8,1137,37
2002,9,5,37
2002,10,848,37
2002,11,148,37
2002,12,125,37
2002,13,48,37
4003,1,425,37
4003,2,154,37
4003,3,380,37
4003,4,136,37
4003,5,72,37
4003,6,1552,37
4003,7,152,37
4003,8,685,37
4003,9,483,37
4003,10,1182,37
4003,11,295,37
4003,12,309,37
4003,13,2,37
2012,1,631,37
2012,2,1363,37
2012,3,656,37
2012,4,336,37
2012,5,4,37
2012,6,3506,37
2012,7,148,37
2012,8,1345,37
2012,9,37,37
2012,10,994,37
2012,11,84,37
2012,12,482,37
2012,13,2,37
1021,1,578,37
1021,2,421,37
1021,3,428,37
1021,4,390,37
1021,5,68,37
1021,6,1279,37
1021,7,327,37
1021,8,908,37
1021,9,0,37
1021,10,1162,37
1021,11,0,37
1021,12,295,37
1021,13,108,37
1004,1,474,38
1004,2,146,38
1004,3,680,38
1004,4,305,38
1004,5,84,38
1004,6,973,38
1004,7,116,38
1004,8,370,38
1004,9,41,38
1004,10,1507,38
1004,11,77,38
1004,12,172,38
1004,13,11,38
2007,1,696,38
2007,2,1041,38
2007,3,364,38
2007,4,81,38
2007,5,116,38
2007,6,3351,38
2007,7,453,38
2007,8,975,38
2007,9,1,38
2007,10,543,38
2007,11,354,38
2007,12,356,38
2007,13,111,38
4008,1,400,39
4008,2,269,39
4008,3,608,39
4008,4,382,39
4008,5,41,39
4008,6,1595,39
4008,7,175,39
4008,8,576,39
4008,9,455,39
4008,10,1049,39
4008,11,83,39
4008,12,333,39
4008,13,44,39
4004,1,247,39
4004,2,375,39
4004,3,233,39
4004,4,214,39
4004,5,94,39
4004,6,2514,39
4004,7,224,39
4004,8,1334,39
4004,9,598,39
4004,10,1360,39
4004,11,187,39
4004,12,152,39
4004,13,122,39
1002,1,424,39
1002,2,125,39
1002,3,336,39
1002,4,204,39
1002,5,66,39
1002,6,1082,39
1002,7,127,39
1002,8,793,39
1002,9,5,39
1002,10,795,39
1002,11,148,39
1002,12,375,39
1002,13,135,39
4002,1,393,40
4002,2,121,40
4002,3,595,40
4002,4,161,40
4002,5,201,40
4002,6,1857,40
4002,7,198,40
4002,8,764,40
4002,9,598,40
4002,10,1188,40
4002,11,112,40
4002,12,314,40
4002,13,149,40
3005,1,77,40
3005,2,41,40
3005,3,45,40
3005,4,10,40
3005,5,20,40
3005,6,9,40
3005,7,67,40
3005,8,11,40
3005,9,10,40
3005,10,77,40
3005,11,10,40
3005,12,38,40
3005,13,22,40
2001,1,335,41
2001,2,438,41
2001,3,492,41
2001,4,197,41
2001,5,43,41
2001,6,1618,41
2001,7,206,41
2001,8,497,41
2001,9,7,41
2001,10,714,41
2001,11,230,41
2001,12,249,41
2001,13,184,41
2004,1,490,41
2004,2,1524,41
2004,3,516,41
2004,4,196,41
2004,5,19,41
2004,6,3493,41
2004,7,275,41
2004,8,2414,41
2004,9,40,41
2004,10,1018,41
2004,11,374,41
2004,12,449,41
2004,13,158,41
4017,1,1280,42
4017,2,252,42
4017,3,811,42
4017,4,88,42
4017,5,19,42
4017,6,2557,42
4017,7,106,42
4017,8,781,42
4017,9,668,42
4017,10,931,42
4017,11,278,42
4017,12,57,42
4017,13,200,42
1003,1,529,42
1003,2,175,42
1003,3,382,42
1003,4,63,42
1003,5,80,42
1003,6,1261,42
1003,7,108,42
1003,8,616,42
1003,9,4,42
1003,10,1461,42
1003,11,74,42
1003,12,223,42
1003,13,84,42
1036,1,1519,42
1036,2,705,42
1036,3,1224,42
1036,4,747,42
1036,5,100,42
1036,6,4314,42
1036,7,492,42
1036,8,1611,42
1036,9,24,42
1036,10,2515,42
1036,11,499,42
1036,12,504,42
1036,13,375,42
2014,1,1032,42
2014,2,4634,42
2014,3,282,42
2014,4,46,42
2014,5,89,42
2014,6,3814,42
2014,7,60,42
2014,8,1148,42
2014,9,43,42
2014,10,648,42
2014,11,222,42
2014,12,89,42
2014,13,116,42
1007,1,542,43
1007,2,378,43
1007,3,879,43
1007,4,295,43
1007,5,80,43
1007,6,2743,43
1007,7,195,43
1007,8,436,43
1007,9,77,43
1007,10,2146,43
1007,11,75,43
1007,12,258,43
1007,13,93,43
2017,1,853,43
2017,2,1811,43
2017,3,576,43
2017,4,283,43
2017,5,50,43
2017,6,1341,43
2017,7,291,43
2017,8,1415,43
2017,9,48,43
2017,10,751,43
2017,11,171,43
2017,12,268,43
2017,13,46,43
1032,1,319,44
1032,2,299,44
1032,3,1234,44
1032,4,412,44
1032,5,137,44
1032,6,2230,44
1032,7,439,44
1032,8,652,44
1032,9,46,44
1032,10,1525,44
1032,11,260,44
1032,12,469,44
1032,13,183,44
2006,1,241,44
2006,2,1189,44
2006,3,268,44
2006,4,218,44
2006,5,41,44
2006,6,2529,44
2006,7,189,44
2006,8,1925,44
2006,9,39,44
2006,10,798,44
2006,11,307,44
2006,12,218,44
2006,13,141,44
1039,1,832,46
1039,2,432,46
1039,3,1033,46
1039,4,425,46
1039,5,265,46
1039,6,1926,46
1039,7,21,46
1039,8,1372,46
1039,9,5,46
1039,10,420,46
1039,11,222,46
1039,12,541,46
1039,13,181,46
3017,1,758,46
3017,2,409,46
3017,3,664,46
3017,4,99,46
3017,5,166,46
3017,6,3711,46
3017,7,420,46
3017,8,941,46
3017,9,9,46
