OKRSEK,STRANA,HLASY,batch
8030,1,0,22
8030,2,0,22
8030,3,0,22
8030,4,780,22
8030,5,65,22
8030,6,326,22
8030,7,0,22
8030,8,844,22
8030,9,325,22
8030,10,65,22
8030,11,0,22
8030,12,0,22
8030,13,65,22
8030,14,1105,22
8030,15,65,22
8030,16,130,22
8030,17,0,22
8030,18,0,22
8030,19,0,22
8030,20,21,22
8030,21,651,22
8030,22,0,22
8019,1,65,26
8019,2,130,26
8019,3,128,26
8019,4,1247,26
8019,5,195,26
8019,6,536,26
8019,7,1,26
8019,8,2204,26
8019,9,101,26
8019,10,0,26
8019,11,0,26
8019,12,0,26
8019,13,520,26
8019,14,2166,26
8019,15,192,26
8019,16,716,26
8019,17,0,26
8019,18,0,26
8019,19,0,26
8019,20,21,26
8019,21,844,26
8019,22,3,26
8057,1,65,30
8057,2,130,30
8057,3,0,30
8057,4,455,30
8057,5,0,30
8057,6,0,30
8057,7,0,30
8057,8,0,30
8057,9,0,30
8057,10,0,30
8057,11,0,30
8057,12,0,30
8057,13,0,30
8057,14,195,30
8057,15,65,30
8057,16,0,30
8057,17,0,30
8057,18,0,30
8057,19,0,30
8057,20,21,30
8057,21,455,30
8057,22,0,30
5013,1,10,30
5013,2,0,30
5013,3,64,30
5013,4,2081,30
5013,5,65,30
5013,6,662,30
5013,7,3,30
5013,8,2295,30
5013,9,262,30
5013,10,0,30
5013,11,0,30
5013,12,0,30
5013,13,2,30
5013,14,2686,30
5013,15,38,30
5013,16,190,30
5013,17,44,30
5013,18,9,30
5013,19,0,30
5013,20,21,30
5013,21,1170,30
5013,22,0,30
4132,1,65,31
4132,2,65,31
4132,3,137,31
4132,4,531,31
4132,5,4,31
4132,6,136,31
4132,7,0,31
4132,8,1388,31
4132,9,331,31
4132,10,0,31
4132,11,0,31
4132,12,0,31
4132,13,390,31
4132,14,1913,31
4132,15,196,31
4132,16,1173,31
4132,17,0,31
4132,18,0,31
4132,19,0,31
4132,20,40,31
4132,21,783,31
4132,22,0,31
6012,1,134,33
6012,2,1,33
6012,3,131,33
6012,4,3646,33
6012,5,200,33
6012,6,1438,33
6012,7,3,33
6012,8,5707,33
6012,9,262,33
6012,10,72,33
6012,11,0,33
6012,12,4,33
6012,13,261,33
6012,14,3291,33
6012,15,405,33
6012,16,715,33
6012,17,2,33
6012,18,7,33
6012,19,0,33
6012,20,73,33
6012,21,2349,33
6012,22,6,33
4039,1,11,33
4039,2,1,33
4039,3,64,33
4039,4,1258,33
4039,5,0,33
4039,6,436,33
4039,7,0,33
4039,8,2480,33
4039,9,529,33
4039,10,137,33
4039,11,0,33
4039,12,0,33
4039,13,0,33
4039,14,2498,33
4039,15,75,33
4039,16,463,33
4039,17,0,33
4039,18,0,33
4039,19,6,33
4039,20,21,33
4039,21,2608,33
4039,22,20,33
