OKRSEK,STRANA,HLASY,batch
23,1,2,20
23,2,41,20
23,3,0,20
23,4,649,20
23,5,111,20
23,6,128,20
23,7,45,20
23,8,225,20
23,9,193,20
23,10,75,20
23,11,558,20
23,12,155,20
23,13,155,20
23,14,48,20
23,15,114,20
13,1,252,24
13,2,197,24
13,3,4,24
13,4,205,24
13,5,740,24
13,6,228,24
13,7,542,24
13,8,1499,24
13,9,571,24
13,10,162,24
13,11,1902,24
13,12,881,24
13,13,471,24
13,14,708,24
13,15,492,24
31,1,858,25
31,2,120,25
31,3,13,25
31,4,301,25
31,5,1020,25
31,6,526,25
31,7,377,25
31,8,1720,25
31,9,489,25
31,10,157,25
31,11,4144,25
31,12,1690,25
31,13,973,25
31,14,962,25
31,15,515,25
20,1,264,28
20,2,234,28
20,3,2,28
20,4,340,28
20,5,737,28
20,6,394,28
20,7,382,28
20,8,1027,28
20,9,397,28
20,10,296,28
20,11,3235,28
20,12,917,28
20,13,621,28
20,14,1410,28
20,15,478,28
59,1,285,28
59,2,140,28
59,3,2,28
59,4,162,28
59,5,1012,28
59,6,562,28
59,7,150,28
59,8,1129,28
59,9,379,28
59,10,1062,28
59,11,4639,28
59,12,1228,28
59,13,1202,28
59,14,522,28
59,15,663,28
18,1,367,30
18,2,377,30
18,3,3,30
18,4,157,30
18,5,676,30
18,6,508,30
18,7,257,30
18,8,1166,30
18,9,518,30
18,10,489,30
18,11,3202,30
18,12,1048,30
18,13,989,30
18,14,1167,30
18,15,779,30
24,1,9,30
24,2,0,30
24,3,0,30
24,4,2880,30
24,5,150,30
24,6,234,30
24,7,45,30
24,8,324,30
24,9,182,30
24,10,150,30
24,11,1055,30
24,12,473,30
24,13,80,30
24,14,373,30
24,15,23,30
54,1,460,31
54,2,297,31
54,3,37,31
54,4,279,31
54,5,1113,31
54,6,752,31
54,7,190,31
54,8,1231,31
54,9,765,31
54,10,408,31
54,11,4532,31
54,12,1185,31
54,13,941,31
54,14,834,31
54,15,392,31
11,1,83,33
11,2,235,33
11,3,7,33
11,4,91,33
11,5,628,33
11,6,253,33
11,7,316,33
11,8,1134,33
11,9,234,33
11,10,335,33
11,11,1555,33
11,12,745,33
11,13,553,33
11,14,432,33
11,15,281,33
3,1,224,33
3,2,209,33
3,3,416,33
3,4,58,33
3,5,609,33
3,6,360,33
3,7,198,33
3,8,1479,33
3,9,841,33
3,10,199,33
3,11,2663,33
3,12,1045,33
3,13,1261,33
3,14,1539,33
3,15,533,33
73,1,208,33
73,2,598,33
73,3,2,33
73,4,161,33
73,5,671,33
73,6,500,33
73,7,254,33
73,8,801,33
73,9,214,33
73,10,564,33
73,11,2967,33
73,12,755,33
73,13,484,33
73,14,1297,33
73,15,543,33
8,1,133,35
8,2,81,35
8,3,3,35
8,4,195,35
8,5,413,35
8,6,334,35
8,7,475,35
8,8,2060,35
8,9,355,35
8,10,278,35
8,11,1786,35
8,12,1152,35
8,13,840,35
8,14,674,35
8,15,376,35
66,1,333,35
66,2,201,35
66,3,0,35
66,4,261,35
66,5,1221,35
66,6,633,35
66,7,224,35
66,8,1074,35
66,9,605,35
66,10,510,35
66,11,2850,35
66,12,1217,35
66,13,740,35
66,14,890,35
66,15,417,35
15,1,307,36
15,2,491,36
15,3,5,36
15,4,192,36
15,5,962,36
15,6,604,36
15,7,329,36
15,8,1163,36
15,9,359,36
15,10,247,36
15,11,2888,36
15,12,737,36
15,13,867,36
15,14,1207,36
15,15,488,36
70,1,488,38
70,2,260,38
70,3,13,38
70,4,364,38
70,5,831,38
70,6,642,38
70,7,486,38
70,8,1389,38
70,9,804,38
70,10,395,38
70,11,3337,38
70,12,964,38
70,13,948,38
70,14,1112,38
70,15,368,38
2,1,97,38
2,2,55,38
2,3,195,38
2,4,123,38
2,5,867,38
2,6,589,38
2,7,526,38
2,8,1893,38
2,9,681,38
2,10,165,38
2,11,1426,38
2,12,1182,38
2,13,959,38
2,14,1992,38
2,15,709,38
68,1,637,38
68,2,218,38
68,3,41,38
68,4,85,38
68,5,783,38
68,6,814,38
68,7,298,38
68,8,1233,38
68,9,600,38
68,10,964,38
68,11,4175,38
68,12,844,38
68,13,419,38
68,14,1299,38
68,15,350,38
